City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
6,Atuona,PF,78.1,scattered clouds,-9.8,-139.0333,Villa Enata
11,Rikitea,PF,75.76,light rain,-23.1203,-134.9692,People ThankYou
12,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Mao,ES,73.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
22,Butaritari,KI,81.5,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
28,Campoverde,PE,73.09,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
36,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Faya,SA,75.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
41,Kapaa,US,73.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Kavieng,PG,80.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
43,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
48,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
52,Nombre De Dios,MX,71.15,clear sky,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
54,Ilhabela,BR,73.9,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
56,Hilo,US,72.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
58,Castro,BR,70.83,clear sky,-24.7911,-50.0119,CHACARA BAILLY
59,Papar,MY,80.6,overcast clouds,5.7333,115.9333,Koposizon Homestay
60,Tabuk,PH,76.68,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
61,Vao,NC,74.05,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
63,Sorong,ID,79.12,moderate rain,-0.8833,131.25,Waigo Splash Hotel
73,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
74,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Lahaina,US,74.8,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
78,Harper,LR,79.21,moderate rain,4.375,-7.7169,Screensaver
81,Red Bluff,US,80.85,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
83,Quepos,CR,76.86,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
96,Meiktila,MM,77.22,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
99,Acandi,CO,81.81,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
100,Namibe,AO,73.13,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
109,Muisne,EC,77.7,light rain,0.6,-80.0333,Quinta Samay
110,Cidreira,BR,70.99,clear sky,-30.1811,-50.2056,Hotel Castelo
111,Dalupirip,PH,75.63,light rain,16.3258,120.7256,Dalupirip Proper
122,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
125,Honiara,SB,77.74,broken clouds,-9.4333,159.95,Heritage Park Hotel
133,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Hobyo,SO,81.03,clear sky,5.3505,48.5268,Iftin hotel hobyo
